Construction,Who suggested it,Is it a construction?,Status (present in Constructicon or not),Comments,Scholarly description if there is any,Freq in the RNC
"похоже, что ни капельки",EV,,,,,
Х и все (тут),EV,,,,,
Что скажет Х!,EV,,,,,
"Если бы ты знал, как Р",EV,,,,,
век будет (помнить),EV,,,,,
Х не прочь Р,EV,,,,,
На редкость А,EV,,,,,
"Не успокоюсь, пока не",EV,,,,,
"не могу видеть, как",EV,,,,,
"только и делать, что Р",EV,,,,,
"(отдельно: только и делает, что Р)",EV,,,,,
Откуда Х взялся,EV,,,,,
В жизни не Р ничего подобного,EV,,,,,
Тебе хорошо Р,EV,,,,,
Есть из-за чего Р,EV,,,,,
Х вне себя,EV,,,,,
вышел из себя,EV,,,,,
по правде говоря,EV,,,,,
Х У-у задаст!,EV,,,,,
Почему бы не Р?,EV,,,,,
Х поспешил Р,EV,,,,,
Куда более Атовый,EV,,,,,
Р как только мог,EV,,,,,
нечего тут Р,EV,,,,,
Как не видеть!,EV (O'Neill's plays),,,,,
Как не знать!,EV (O'Neill's plays),,,,,
Как не слыхать!,EV (O'Neill's plays),,,,,
нашел о ком говорить,EV (O'Neill's plays),,,,,
 ... а туда же!,EV (O'Neill's plays),,,,,
P И больше ничего,EV (O'Neill's plays),,,,,
P. Вот что я вам скажу,EV (O'Neill's plays),,,,,
"V, и ну бегать!",EV (O'Neill's plays),,,,,
а вот и не выучила,EV (O'Neill's plays),,,,,
а вот и не удрал,EV (O'Neill's plays),,,,,
а как чешет,EV (O'Neill's plays),,,,,
"а ну-ка, сматывайся",EV (O'Neill's plays),,,,,
"ах, о небе!",EV (O'Neill's plays),,,,,
"Будешь знать, как раздевать прохожих!",EV (O'Neill's plays),,,,,
был близок к этому,EV (O'Neill's plays),,,,,
был достаточно взрослым,EV (O'Neill's plays),,,,,
был сам не свой,EV (O'Neill's plays),,,,,
было не до меня,EV (O'Neill's plays),,,,,
было не как у людей,EV (O'Neill's plays),,,,,
в два счета вылечат,EV (O'Neill's plays),,,,,
"в доверении всего, как на грех",EV (O'Neill's plays),,,,,
в три погибели согнулся,EV (O'Neill's plays),,,,,
варварство какое-то,EV (O'Neill's plays),,,,,
вдвойне дорог,EV (O'Neill's plays),,,,,
вести себя как последняя бесстыдница,EV (O'Neill's plays),,,,,
"видно, попусту слова тратить",EV (O'Neill's plays),,,,,
виду не подает,EV (O'Neill's plays),,,,,
вне себя от ярости,EV (O'Neill's plays),,,,,
вон вечер какой,EV (O'Neill's plays),,,,,
вот и отец идет,EV (O'Neill's plays),,,,,
вот только времени мало,EV (O'Neill's plays),,,,,
"вот уж, действительно, не повезет, так не повезет",EV (O'Neill's plays),,,,,
вот-вот объявятся,EV (O'Neill's plays),,,,,
все не так безнадежно,EV (O'Neill's plays),,,,,
все про ту же старушку,EV (O'Neill's plays),,,,,
все ходишь вокруг да около,EV (O'Neill's plays),,,,,
всего-навсего,EV (O'Neill's plays),,,,,
встал с левой ноги,EV (O'Neill's plays),,,,,
вся в папу,EV (O'Neill's plays),,,,,
вы чего это расфуфырились?,EV (O'Neill's plays),,,,,
Говорил я…,EV (O'Neill's plays),,,,,
"Да ты, никак, меня надул",EV (O'Neill's plays),,,,,
если хочешь знать,EV (O'Neill's plays),,,,,
далеко до него,EV (O'Neill's plays),,,,,
даром что в годах,EV (O'Neill's plays),,,,,
длинные-предлинные,EV (O'Neill's plays),,,,,
долго-то как,EV (O'Neill's plays),,,,,
"должен вернуться, не то смотри у меня",EV (O'Neill's plays),,,,,
ее убьешь!,EV (O'Neill's plays),,,,,
Знаю я (людей)!,EV (O'Neill's plays),,,,,
и в самом деле ухожу,EV (O'Neill's plays),,,,,
"имей в виду, P",EV (O'Neill's plays),,,,,
Как вы говорите? P?,EV (O'Neill's plays),,,,,
как же без Х-ов?,EV (O'Neill's plays),,,,,
"Какое там вперед, когда я не могу двинуться с места!",EV (O'Neill's plays),,,,,
какое там преувеличение!,EV (O'Neill's plays),,,,,
какой вздор,EV (O'Neill's plays),,,,,
"Может быть, Р? Так и скажи",EV (O'Neill's plays),,,,,
Может Р? Так ты скажи!,EV (O'Neill's plays),,,,,
никакой он не Х,EV (O'Neill's plays),,,,,
"ну хорошо, Р, а дальше что?",EV (O'Neill's plays),,,,,
пропади Х пропадом,EV (O'Neill's plays),,,,,
Р и все дела!,EV (O'Neill's plays),,,,,
Р только и мечтают,EV (O'Neill's plays),,,,,
"Р, Так бы и убил тебя!",EV (O'Neill's plays),,,,,
сам ты X!,EV (O'Neill's plays),,,,,
сейчас,EV (O'Neill's plays),,,,,
сейчас не время P,EV (O'Neill's plays),,,,,
Так что твой Х?,EV (O'Neill's plays),,,,,
чего это Х задираешься?,EV (O'Neill's plays),,,,,
черт с ним,EV (O'Neill's plays),,,,,
не отказался бы от NP,EV (O'Neill's plays),,,,,
да не грязные Х-ы,EV (O'Neill's plays),,,,,
"не волнуйся, Х осторожно",EV (O'Neill's plays),,,,,
"удрали б Х от У-а, как пить дать",EV (O'Neill's plays),,,,,
"знать, что P",EV (O'Neill's plays),,,,,
какой из Х-а У,EV (O'Neill's plays),,,,,
все не удается P с Х-ом,EV (O'Neill's plays),,,,,
"такому, как Х, не P",EV (O'Neill's plays),,,,,
"день Z1 (здоров), день Z2(болен)",EV (O'Neill's plays),,,,,
"не жизнь, а Z",EV (O'Neill's plays),,,,,
зато теперь P,EV (O'Neill's plays),,,,,
столько пере-P,EV (O'Neill's plays),,,,,
без конца P,EV (O'Neill's plays),,,,,
не то что Х,EV (O'Neill's plays),,,,,
вот Х где,EV (O'Neill's plays),,,,,
чем Adv (плохо),EV (O'Neill's plays),,,,,
"если P, не так уж Z",EV (O'Neill's plays),,,,,
"не сегодня, так завтра P",EV (O'Neill's plays),,,,,
"что вы тут P, как куры (на насесте)",EV (O'Neill's plays),,,,,
А у Х никак новый У?,EV (O'Neill's plays),,,,,
P1 - это тебе не P2,EV (O'Neill's plays),,,,,
пора домой/P,EV (O'Neill's plays),,,,,
не засиживайтесь (Imp)/P,EV (O'Neill's plays),,,,,
(я) так Х-у и скажу,EV (O'Neill's plays),,,,,
не больно радуется Х-ому отъезду,EV (O'Neill's plays),,,,,
"вот и все, что P",EV (O'Neill's plays),,,,,
"видишь ли, Р",EV (O'Neill's plays),,,,,
"Р1, что бы ни случилось, Р2",EV (O'Neill's plays),,,,,
"ни за что на свете не Р, чтобы",EV (O'Neill's plays),,,,,
"хорош бы У был, если бы не понимал Х-а",EV (O'Neill's plays),,,,,
останься я дома - превосходно Р,EV (O'Neill's plays),,,,,
только (я) хочу Р,EV (O'Neill's plays),,,,,
я бы ни за что не Р,EV (O'Neill's plays),,,,,
вечно Х Р,EV (O'Neill's plays),,,,,
"это как раз то, чего Х Р",EV (O'Neill's plays),,,,,
пойми Х-а,EV (O'Neill's plays),,,,,
с Х-ом совсем другое дело,EV (O'Neill's plays),,,,,
"Х же знает, что Р",EV (O'Neill's plays),,,,,
это Х здорово задумал,EV (O'Neill's plays),,,,,
решишь Inf - Imp,EV (O'Neill's plays),,,,,
Х-у подвернется удачный случай,EV (O'Neill's plays),,,,,
Х ж втихомолку все обдумал,EV (O'Neill's plays),,,,,
Р к чему душа не лежит,EV (O'Neill's plays),,,,,
тут Х-у и У1 и У2,EV (O'Neill's plays),,,,,
"Р, смотри на горизонт сколько хочешь",EV (O'Neill's plays),,,,,
У-а полно,EV (O'Neill's plays),,,,,
"Р,чего только нет",EV (O'Neill's plays),,,,,
"Р1 хоть, а то Р2",EV (O'Neill's plays),,,,,
что бы Х ни делал,EV (O'Neill's plays),,,,,
"понятия не имеешь, как Р",EV (O'Neill's plays),,,,,
как бы Х хотел Р,EV (O'Neill's plays),,,,,
Х-у это не пристало,EV (O'Neill's plays),,,,,
приводит в Z,EV (O'Neill's plays),,,,,
одно упоминание о вере в У,EV (O'Neill's plays),,,,,
дай Х-у Inf,EV (O'Neill's plays),,,,,
а Х-то думал,EV (O'Neill's plays),,,,,
радоваться Х-у нечему,EV (O'Neill's plays),,,,,
как Х может Inf,EV (O'Neill's plays),,,,,
вовсе не У,EV (O'Neill's plays),,,,,
Х ничуть не Adv,EV (O'Neill's plays),,,,,
"по мне, лучше бы Р",EV (O'Neill's plays),,,,,
"ладно, если бы Р",EV (O'Neill's plays),,,,,
"Р1, к чему же Р2",EV (O'Neill's plays),,,,,
"послушать Х, так и Р",EV (O'Neill's plays),,,,,
признаться - Х очень Р,EV (O'Neill's plays),,,,,
"вот я и думаю, Р",EV (O'Neill's plays),,,,,
"(я) и знать не знал, что Р",EV (O'Neill's plays),,,,,
море из Х-а человека сделает,EV (O'Neill's plays),,,,,
будет себе Inf,EV (O'Neill's plays),,,,,
но вреда Х-у не будет,EV (O'Neill's plays),,,,,
если бы Х Р,EV (O'Neill's plays),,,,,
зачем Х так,EV (O'Neill's plays),,,,,
к тому же у Х-а У,EV (O'Neill's plays),,,,,
для Х-а так Z,EV (O'Neill's plays),,,,,
пусть будет Р,EV (O'Neill's plays),,,,,
"он, верно, давно довез Х-а",EV (O'Neill's plays),,,,,
не Р же Х,EV (O'Neill's plays),,,,,
пойду Р,EV (O'Neill's plays),,,,,
как-то Х там,EV (O'Neill's plays),,,,,
не то с Х-ом будешь иметь дело,EV (O'Neill's plays),,,,,
Х-у не Р,EV (O'Neill's plays),,,,,
Х до мозга костей У,EV (O'Neill's plays),,,,,
лучше Х-а тогда и не Р,EV (O'Neill's plays),,,,,
сейчас Х не Adj,EV (O'Neill's plays),,,,,
"Р бы надо, да денег нет",EV (O'Neill's plays),,,,,
а что сегодня с Х-ом,EV (O'Neill's plays),,,,,
Adj Х какой-то,EV (O'Neill's plays),,,,,
"не веришь, Р",EV (O'Neill's plays),,,,,
одной Х-у с У трудно,EV (O'Neill's plays),,,,,
Х первый сорт!,EV (O'Neill's plays),,,,,
Х что-то сомневается,EV (O'Neill's plays),,,,,
Р - и все!,EV (O'Neill's plays),,,,,
Уж не хочет ли Х сказать,EV (O'Neill's plays),,,,,
мог бы и не Inf,EV (O'Neill's plays),,,,,
для обоих Х будет выгодно,EV (O'Neill's plays),,,,,
"не помню, Р",EV (O'Neill's plays),,,,,
можешь Х-у не Р,EV (O'Neill's plays),,,,,
"рано или поздно, а Р",EV (O'Neill's plays),,,,,
но что Р?,EV (O'Neill's plays),,,,,
соеденим Х вместе,EV (O'Neill's plays),,,,,
что Х обращается с У-ом как с ребенком,EV (O'Neill's plays),,,,,
вот Р,EV (O'Neill's plays),,,,,
как начнет Р,EV (O'Neill's plays),,,,,
Х хочет Inf,EV (O'Neill's plays),,,,,
"помолчи, если не можешь Inf",EV (O'Neill's plays),,,,,
что-нибудь Perf,EV (O'Neill's plays),,,,,
а не поздно ли взять да Inf,EV (O'Neill's plays),,,,,
ни с того ни с сего Inf,EV (O'Neill's plays),,,,,
как Х думает?,EV (O'Neill's plays),,,,,
к тому же Х так был уверен,EV (O'Neill's plays),,,,,
"вот и все, что Р",EV (O'Neill's plays),,,,,
Х совсем сбил нас с толку,EV (O'Neill's plays),,,,,
и Х тоже Adj,EV (O'Neill's plays),,,,,
как это Х так вдруг,EV (O'Neill's plays),,,,,
нечего сейчас об этом Inf,EV (O'Neill's plays),,,,,
"пожалуй, Х прав",EV (O'Neill's plays),,,,,
что с Х-ом?,EV (O'Neill's plays),,,,,
Х не хочет Р?,EV (O'Neill's plays),,,,,
как это можно Р,EV (O'Neill's plays),,,,,
поймите одно - Х не намерен,EV (O'Neill's plays),,,,,
"это все хорошо, но Р",EV (O'Neill's plays),,,,,
смотрите на Х-а как на больного,EV (O'Neill's plays),,,,,
"дайте Х-у хоть малую возможность, и Х докажет это",EV (O'Neill's plays),,,,,
на Х-а плечи ляжет забота,EV (O'Neill's plays),,,,,
никак собираешься Inf,EV (O'Neill's plays),,,,,
Х свободен сам Inf,EV (O'Neill's plays),,,,,
Х в любви еще ни черта не смыслят,EV (O'Neill's plays),,,,,
Р - и готов,EV (O'Neill's plays),,,,,
никали У,EV (O'Neill's plays),,,,,
вертят Х-ом как хотят,EV (O'Neill's plays),,,,,
