Cx ID,FB entry,ConstrName,Example,Pattern,Comment1,Comment2,Comment3,Source
17836,"P и так, и не так","99i1_Это и так, и не так.",Это так и не так.,"P [и] так, и не так",-,(конструкция повтора),-,olesar
17837,P только так и не иначе,99i3_И звать его будут только так и не иначе.,И звать его будут только так и не иначе.,P [только] так и не иначе,-,(конструкция повтора),-,olesar
14397,бегать i1,99i1_бегать по делам,,Snom V по + делам,NULL,,,APphras
14398,бегать i2,99i2_мурашки бегают по спине,,мурашки V по + спине [у + Sgen],,,,APphras
14399,бегать i3,99i3_злые огоньки бегают в глазах,,злые + огоньки V в + глазах,,,,APphras
14400,бежать i1,99i1_бежать бегом,,Snom V бегом,,,,APphras
14401,бежать i2,99i2_бежать без оглядки,,Snom V без + оглядки,,,,APphras
14402,бежать i3,99i3_бежать взапуски,,Snom V взапуски,,,,APphras
14403,бежать i4,99i4_бежать очертя/сломя голову,,Snom V {очертя / сломя} голову,,,,APphras
11956,бежать i9,99i9_От его крика мурашки по спине бегут.,От его крика даже мурашки по спине бегут.,Snom V по + Sdat от + Sgen,-,,-,annachudinova
14404,беречь i1,99i1_беречь что-л. как зеницу ока,,Snom V Sacc как зеницу + ока,,,СВ нет,APphras
14405,беречь i2,99i2_копейка рубль бережет,,копейка рубль V,,,СВ нет,APphras
14406,беситься i1,99i1_с жиру беситься,,Snom с + жиру V,<прост.>,,СВ нет,APphras
14407,бить i1,99i1_бить наверняка/без промаха,,Snom V {наверняка / без + промаха},,,СВ редк. пробить,APphras
14416,бить i10,99i10_бить ключом,Энергия [жизнь] бьёт ключом,Snom V ключом,<см. также 16.>,,СВ нет,APphras
14417,бить i11,99i11_бить кого-л. по рукам,,Snom V Sacc по + рукам,,,СВ нет,APphras
14418,бить i12,99i12_бить кого-л. по карману,,Snom V Sacc по + карману,,,СВ нет,APphras
14419,бить i13,99i13_бить кого-л. в хвост и в гриву,,Snom V Sacc в + хвост и в + гриву,,,СВ нет,APphras
14408,бить i2,99i2_бить баклуши,,Snom V баклуши,,,СВ нет,APphras
14409,бить i3,99i3_бить мимо цели,,Snom V мимо + цели,,,СВ нет,APphras
14410,бить i4,99i4_бить в цель,,Snom V в + цель,,,СВ нет,APphras
14411,бить i5,99i5_бить в одну точку,,Snom V в + одну + точку,,,СВ нет,APphras
14412,бить i6,99i6_бить в глаза,,Snom V в + глаза,,,СВ нет,APphras
14413,бить i7,"99i7_бить в/во все колокола, бить в набат",,Snom V {в + колокола / во + все + колокола / в + набат},,,СВ нет,APphras
14414,бить i8,99i8_бить на эффект,,Snom V на + эффект,,,СВ нет,APphras
14415,бить i9,99i9_бить через край,Радость [энергия] бьёт через край,Snom V через + край,,,СВ нет,APphras
14420,биться i1,99i1_биться головой об стенку,,Snom V головой {об + стенку / об стену},,,,APphras
14421,биться i2,"99i2_биться, как рыба об лед",,Snom V как рыба об + лед,,,,APphras
14422,благодарить i1,99i1_благодарю покорно!,,V1sg покорно!,,,,APphras
14423,благодарить i2,99i2_благодарю на добром слове!,,V1sg на + добром + слове!,,,,APphras
14424,блуждать i1,99i1_блуждать в потемках,,Snom V в + потемках,,,,APphras
14425,болтать I i1,99i1_болтать языком,,Snom V языком,,,,APphras
16840,болтать II i2,99i2_болтать разговоры,-,Snom V разговоры,-,,СВ нет,olesar
14426,бояться i1,99i1_бояться кого-чего-л. пуще/как огня,,Snom V Sgen {пуще / как} огня,,,,APphras
14427,бояться i2,"99i2_бояться кого-чего-л., как чумы",,"Snom V Sgen, как чумы",,,,APphras
14428,бояться i3,99i3_дело мастера боится,,дело мастера V,,,,APphras
16477,брать 99i37,99i37_брать за основу,брать за основу,Snom V {за + основу / в + основу} {Sacc / Vinf / что + CL},-,,СВ взять,egor
14429,брать i1,99i1_брать ванны,,Snom V ванны,,,,APphras
14438,брать i10,99i10_брать всем,,Snom V всем,,,,APphras
14439,брать i11,99i11_брать начало где-л.,,Snom V начало {ADV / PRгде + Sx},,,,APphras
14440,брать i12,99i12_брать все / многое от жизни,,Snom V {все / многое} от + жизни,,,,APphras
14441,брать i13,99i13_брать обещание/слово с кого-л.,,Snom V {обещание / слово} с + Sacc,,,,APphras
14442,брать i14,99i14_брать пример с кого-л.,,Snom V пример с + Sacc,,,,APphras
